,GUBID,ISOALPHA,COUNTRYNM,NAME1,NAME2,NAME3,NAME4,NAME5,NAME6,CENTROID_X,CENTROID_Y,INSIDE_X,INSIDE_Y,CONTEXT,CONTEXT_NM,WATER_CODE,TOTAL_A_KM,WATER_A_KM,LAND_A_KM,UN_2000_E,UN_2005_E,UN_2010_E,UN_2015_E,UN_2020_E,UN_2000_DS,UN_2005_DS,UN_2010_DS,UN_2015_DS,UN_2020_DS,B_2010_E,F_2010_E,M_2010_E,A00_04B,A05_09B,A10_14B,A15_19B,A20_24B,A25_29B,A30_34B,A35_39B,A40_44B,A45_49B,A50_54B,A55_59B,A60_64B,A65PLUSB,A65_69B,A70PLUSB,A70_74B,A75PLUSB,A75_79B,A80PLUSB,A80_84B,A85PLUSB,A00_04F,A05_09F,A10_14F,A15_19F,A20_24F,A25_29F,A30_34F,A35_39F,A40_44F,A45_49F,A50_54F,A55_59F,A60_64F,A65PLUSF,A65_69F,A70PLUSF,A70_74F,A75PLUSF,A75_79F,A80PLUSF,A80_84F,A85PLUSF,A00_04M,A05_09M,A10_14M,A15_19M,A20_24M,A25_29M,A30_34M,A35_39M,A40_44M,A45_49M,A50_54M,A55_59M,A60_64M,A65PLUSM,A65_69M,A70PLUSM,A70_74M,A75PLUSM,A75_79M,A80PLUSM,A80_84M,A85PLUSM
0,{BBA90769-3FFD-4784-B76A-0624AB84FA4F},GNB,Guinea-Bissau,Tombali,Komo,,,,,-15.303219635240355,11.183809922603416,-15.303219635240355,11.183809922603416,0,Not applicable,L,206.1231959081958,0.0,206.1231959081958,8935,9333,9766,10295,10753,43.34786272176527,45.27874681390434,47.379432270929996,49.94585861450178,52.16783076073217,8861.118262626429,4774.322463707461,4086.795798918968,1418.82713530583,1347.4514516069605,1091.6704751930856,948.780022028236,796.7277552898512,744.6885079701109,493.8961285325479,460.0279995797513,317.4255342115793,321.5919348739705,227.7430442725656,183.43690950794084,162.87239000062556,345.97897425337266,118.0953058826074,227.88366837076526,77.49859567538705,150.3850726953782,57.81091233573041,92.57416035964779,0.0,0.0,737.7253659268841,682.5531636909445,551.2149249123748,506.2860911062697,464.60268096110207,434.78535107623765,277.7879814783799,259.93815134322296,184.2792122476146,182.14940297012427,127.28145920239751,92.69741331553092,88.33637527114601,184.68489020523174,62.170147004836394,122.51474320039536,41.48057116635904,81.03417203403635,31.237202736524647,49.7969692975117,0.0,0.0,681.101769378946,664.8982879160156,540.4555502807108,442.4939309219663,332.1250743287493,309.90315689387336,216.108147054168,200.08984823652835,133.1463219639647,139.44253190384623,100.46158507016807,90.73949619240987,74.53601472947955,161.29408404814086,55.925158877771004,105.36892517036985,36.018024509028,69.35090066134185,26.573709599205756,42.777191062136104,0.0,0.0
1,{4B54E296-514C-455C-A239-E1A05C414214},GNB,Guinea-Bissau,Bafata,Galomaro/Cosse,,,,,-14.62700324318333,12.006424650563519,-14.62700324318333,12.006424650563519,0,Not applicable,L,861.2595264024875,0.0,861.2595264024875,15172,15640,16152,16803,17320,17.616060589046832,18.15945080494941,18.75392898986847,19.509798713271415,20.110082349215077,14654.71532327843,7911.371327126469,6743.343996151961,2615.4969102496257,2319.9525919221514,1842.3998217656574,1716.6820590707487,1293.7243253032414,1185.9596544501185,754.2070338931171,716.2490112991345,478.25658670591207,462.1095426698719,320.3868410652665,263.010095243185,208.63430929590984,477.6465403444892,162.41523795244782,315.23130239204136,112.54222908566535,202.68907330637603,85.03065259311325,117.6584207132628,0.0,0.0,1348.3015860265784,1207.6305201222403,962.9087364484437,919.9429000146187,735.2356743489229,689.5175779300133,438.83256428853264,413.4506110927498,275.3024501747396,252.90211196279893,174.61560572038476,129.81492929650318,106.49717108953413,256.4188886104073,81.95618622252734,174.46270238788003,60.0145580081007,114.44814437977932,46.3297097489287,68.1184346308506,0.0,0.0,1267.1953242230475,1112.322071799911,879.4910853172138,796.7391590561296,558.4886509543185,496.4420765201052,315.3744696045846,302.7984002063846,202.95413653117245,209.20743070707297,145.77123534488183,133.1951659466818,102.13713820637571,221.22765173408183,80.45905172992047,140.7686000041614,52.52767107756466,88.24092892659672,38.700942844184546,49.53998608241218,0.0,0.0
2,{96319D13-630C-494E-AA6D-292043380213},GNB,Guinea-Bissau,Gabu,Gabu,,,,,-14.282786901647055,12.058604228878126,-14.282786901647055,12.058604228878126,0,Not applicable,L,2823.8061316469343,8.649717267454145,2815.156414379479,66138,78353,92994,111180,131708,23.493543613482746,27.832556514367138,33.033333254592144,39.49336506920397,46.78532223902425,84374.18655897577,43325.438185575294,41048.748373400485,14876.590405398269,14056.0209310047,10816.636563536917,9532.794550706529,7518.598031401419,6601.419252907668,4444.135602195535,4009.3343804740257,2921.0307699780324,2541.321316230009,1796.339846027753,1444.2171873780042,1157.2537278440345,2658.493993892877,858.773224018281,1799.7207698745965,667.6794797421991,1132.0412901323975,454.87940996756095,677.1618801648367,0.0,0.0,7288.100748527209,6962.702562798852,5402.019188984731,4917.401010491177,4142.994259047086,3722.2278000172105,2478.756494051488,2171.367767659039,1582.78589209001,1307.3230254294006,915.2079789793801,613.1402292089049,562.3862983531611,1259.0249299376444,389.24990519203504,869.7750247456095,309.435255862438,560.3397688831714,209.15531183294414,351.1844570502272,0.0,0.0,7588.489656871059,7093.318368205847,5414.617374552186,4615.393540215352,3375.603772354331,2879.1914528904585,1965.3791081440474,1837.9666128149868,1338.244877888022,1233.9982908006089,881.1318670483731,831.0769581690993,594.8674294908735,1399.4690639552327,469.5233188262457,929.9457451289873,358.24422387976114,571.7015212492262,245.72409813461672,325.9774231146094,0.0,0.0
3,{D20F48EE-6AD5-44A1-BF0D-E3B0385EEFE3},GNB,Guinea-Bissau,Cacheu/Calequisse,Sao Domingos,,,,,-16.31571731920603,12.327470191093,-16.31571731920603,12.327470191093,0,Not applicable,L,1036.8779372010313,57.85799402707264,979.0199061276628,29697,30986,32391,34108,35587,30.333397527595878,31.650020399033103,33.08512911460276,34.83892389370106,36.34961840638969,29388.77751542757,14666.126435608001,14722.651079819569,4720.958252834475,4159.375186096107,3527.5929628118865,3161.582989745948,2651.776759844495,2319.5992805240758,1629.7665898828243,1495.4119096980746,1142.7061380595605,1058.7039069283833,830.2682118893862,660.7708732326447,595.1090662963254,1435.1553875833831,440.72818822595434,994.4271993574288,337.67370427156385,656.7534950858649,255.3815664105796,401.37192867528535,0.0,0.0,2226.7813636090477,1915.3200819711194,1562.1587747974404,1438.7266992116204,1343.499004533617,1217.185836274418,858.1107072974874,803.218310046791,631.5658412959949,591.9887261511558,483.41702330171233,373.9355017133069,351.1900332392615,869.0285321650291,254.14270108333432,614.8858310816947,202.88957878848527,411.99625229320964,156.64045955792616,255.3557927352834,0.0,0.0,2494.176889225429,2244.055104124989,1965.4341880144461,1722.8562905343274,1308.277755310878,1102.4134442496584,771.6558825853372,692.1935996512833,511.14029676356574,466.71518077722766,346.8511885876738,286.8353715193378,243.919033057064,566.1268554183541,186.58548714262008,379.54136827573404,134.7841254830787,244.7572427926553,98.7411068526534,146.0161359400019,0.0,0.0
4,{0842C11B-438D-406F-B9A3-580AB0029977},GNB,Guinea-Bissau,Tombali,Cacine,,,,,-14.972914127103927,11.09549465798385,-14.972914127103927,11.09549465798385,0,Not applicable,L,505.93898765736367,1.6042917123862108,504.3346959449775,15569,16471,17456,18636,19714,30.870372641779472,32.658867479141215,34.6119355665041,36.95165165085761,39.0891210906314,15838.17433823445,8047.630634157857,7790.5437040765955,2541.8800438779817,2417.993161778918,1959.3868421030622,1696.913016867964,1416.2581331558279,1323.6368225436438,880.2021964056879,819.5791687224561,564.4353846578133,572.8476511975922,406.05358867390055,329.22553998251925,290.9863041439561,618.7764841231296,211.40298038905152,407.37350373407816,138.58008024451323,268.7934234895648,103.3103568230356,165.48306666652925,0.0,0.0,1243.5149279418856,1150.5162860941555,929.1316515485491,853.3993016615193,783.1374601184735,732.8771647081196,468.24132356788886,438.1535276759763,310.6223019068471,307.0322808061075,214.54649911562637,156.25139457504582,148.90039898781714,311.30611544984515,104.79442546444538,206.5116899853997,69.91993477154675,136.59175521385293,52.65364281084694,83.93811240300599,0.0,0.0,1298.3651159360966,1267.4768756847625,1030.2551905545129,843.5137152064447,633.1206730373543,590.7596578355242,411.9608728377992,381.4256410464797,253.81308275096612,265.81537039148475,191.50708955827415,172.97414540747346,142.0859051561389,307.4703686732845,106.6085549246061,200.8618137486784,68.6601454729665,132.20166827571188,50.65671401218865,81.54495426352321,0.0,0.0
5,{A7E9E8A1-2331-44A6-B1DF-DABC4AB74130},GNB,Guinea-Bissau,Cacheu/Calequisse,Bula,,,,,-15.788348348650725,12.129054090164267,-15.788348348650725,12.129054090164267,0,Not applicable,L,658.8503557999462,14.304410037093575,644.5459458710508,26307,29608,33383,37916,42671,40.814778478589695,45.93621322059086,51.79304937662066,58.82590720318572,66.20319354011863,30288.91891583811,15850.00875837426,14438.910157463848,4852.64020183542,4270.735737009114,3615.815243742683,3244.5166191425456,2735.013324299538,2396.607066064349,1684.1635272487524,1546.909240204707,1183.836632699476,1097.495827782009,862.6060512088371,685.4277700435922,618.7569994758361,1494.3946750812418,457.64720048302735,1036.7474745982145,351.45378750220107,685.2936870960134,266.1229536649786,419.1707334310349,0.0,0.0,2406.532104516444,2069.92897597189,1688.2597031480018,1554.8639160811724,1451.9492302360022,1315.4397822916915,927.3793108245528,868.05587726412,682.5472397215519,639.7753718782566,522.4395198636994,404.120406519411,379.53887327613785,939.1784467813237,274.6576647715056,664.5207820098183,219.26727652999676,445.25350547982146,169.28482560200794,275.9686798778135,0.0,0.0,2446.108097318976,2200.806761037224,1927.5555405946814,1689.6527030613736,1283.064094063536,1081.167283772657,756.7842164241998,678.853362940587,501.2893929779242,457.7204559037523,340.1665313451378,281.3073635241812,239.21812619969825,555.2162282999179,182.98953571152168,372.22669258839636,132.18651097220436,240.04018161619203,96.8381280629706,143.2020535532214,0.0,0.0
6,{8A611581-26D7-4CBA-8A27-992E24066BC7},GNB,Guinea-Bissau,Oio,Bissora,,,,,-15.531417952312493,12.2616895110363,-15.531417952312493,12.2616895110363,0,Not applicable,L,804.1064361648674,5.069921296438434,799.0362814281119,55375,59123,63240,68140,72748,69.30223481345385,73.99288539730621,79.14534229531054,85.27772966480805,91.04467680738856,57378.22653358463,29632.657311848434,27745.56922173619,9833.246898660369,8777.120688080062,6985.597667897846,6525.3423762889515,5218.467423282951,4756.109858467357,3082.8385064223144,2797.589349919524,1916.258867272956,1913.6136523026817,1288.6077933863485,1161.562434081628,993.0600567412926,2128.810960780336,740.7852572560213,1388.0257035243148,469.01366949100515,919.0120340333096,370.8408924816311,548.1711415516785,0.0,0.0,4888.830709522926,4219.799353957082,3291.899232297047,3252.949684072026,2807.8119900717816,2733.3574114919784,1741.0713019497666,1610.4445857937421,1072.569872210113,1069.655280166064,716.9896428361083,581.5935942443672,525.4214566681459,1120.2631965672822,388.1706676847371,732.0925288825451,240.85128800370376,491.2412408788414,199.5170735608239,291.7241673180174,0.0,0.0,4944.416189137445,4557.321334122981,3693.698435600799,3272.3926922169267,2410.655433211169,2022.7524469753794,1341.767204472548,1187.144764125782,843.688995062843,843.9583721366178,571.6181505502402,579.9688398372607,467.6386000731467,1008.5477642130536,352.614589571284,655.9331746417696,228.16238148730142,427.77079315446815,171.32381892080718,256.446974233661,0.0,0.0
7,{AF9D8234-3558-4AC8-A61B-7E2AE86E25D4},GNB,Guinea-Bissau,Bissau,Sector Autonomo de Bissau,,,,,-15.610651846773171,11.875643162843831,-15.610651846773171,11.875643162843831,0,Not applicable,L,83.51159203530658,0.8055683470285425,82.70602368827802,296266,351003,416617,498121,590127,3582.157463120669,4243.983501406656,5037.32353970062,6022.789849956225,7135.236028565583,378000.2181430317,190387.98487553708,187612.23326749468,47089.02537541273,44012.053052348965,45164.89111170137,51190.109676313186,50062.30692397432,41764.65353693166,27614.102214158742,20851.967344727644,14970.31951689733,12369.122089258024,8206.956614855542,5443.920127603473,3645.597620685068,5615.192938163711,2424.061279590394,3191.131658573317,1436.2992289960885,1754.8324295772284,866.048071924147,888.7843576530813,0.0,0.0,23646.07252671833,22972.546036929427,24212.706522750294,26679.536208772213,24776.22714517768,20455.902373234363,13200.704083381926,10046.85662195129,6901.311490132845,5815.781893339019,3858.5076872652508,2577.873344584961,1904.3468547960558,3339.6120865033836,1328.3727379503825,2011.239348553001,826.0817964128943,1185.1575521401069,553.1427104121514,632.0148417279554,0.0,0.0,23442.9528486944,21039.50701541953,20952.184588951077,24510.573467540977,25286.079778796626,21308.7511636973,14413.398130776812,10805.110722776357,8069.008026764486,6553.340195919008,4348.4489275902915,2866.046783018512,1741.2507658890124,2275.5808516603274,1095.6885416400114,1179.892310020316,610.2174325831943,569.6748774371217,312.9053615119957,256.76951592512603,0.0,0.0
8,{D7DC183C-6FD6-44EB-99A7-FFA2B8EB1BB1},GNB,Guinea-Bissau,Biombo,Safim,,,,,-15.673262115205144,11.936624553148294,-15.673262115205144,11.936624553148294,0,Not applicable,L,170.6093315749099,7.907191721527058,162.70190611325614,15698,17510,19568,22028,24570,96.48319663245181,107.62012823507648,120.26902737315687,135.3887027277136,151.01236726075555,17754.097923334266,9199.27417749165,8554.823745842617,2866.0538327375807,2530.200584271927,2308.239451725256,2067.96961588774,1669.150240072559,1466.8828261179106,974.4518087374396,929.5916681385563,636.0089671134318,609.9727300919543,424.06576223320997,315.63086649563974,301.52285227196074,654.3567174391006,216.5045691014236,437.85214833767714,171.03218866445906,266.819959673218,110.79366133464279,156.0262983385752,0.0,0.0,1415.804910593455,1227.4047323917118,1093.9546061654773,1065.1712456068776,887.2377439718982,804.8126660086357,520.3433493190994,512.4933418940268,324.6538785083605,336.8026995233539,248.0228536445564,181.2977905314391,181.4846954701313,399.7896638626271,137.00132006138642,262.78834380124056,105.04057554501937,157.74776825622126,66.53815817442508,91.20961008179616,0.0,0.0,1450.2489221441253,1302.7958518802145,1214.2848455597791,1002.7983702808624,781.9124961006607,662.0701601092746,454.1084594183402,417.09832624452974,311.3550886050715,273.17003056860045,176.04290858865363,134.33307596420065,120.03815680182946,254.56705357647357,79.50324904003713,175.06380453643644,65.99161311943969,109.07219141699673,44.255503160217714,64.81668825677903,0.0,0.0
9,{84A95A2B-89AB-4315-A835-0E5C538EDB44},GNB,Guinea-Bissau,Tombali,Bedanda,,,,,-15.038941874515114,11.262963244072461,-15.038941874515114,11.262963244072461,0,Not applicable,L,1024.535945432395,9.083022934463175,1015.4529224979317,23486,25246,27187,29492,31700,23.12859560463557,24.861812340740425,26.773274661637878,29.043197716593383,31.217596894615838,24666.865446315507,12715.726998897175,11951.138447418334,3956.592454546148,3762.264839655014,3048.552574171848,2642.418957088065,2208.6462103954723,2064.2477908330998,1371.8201512442286,1277.4368868814227,880.1651486098077,892.9048992404249,632.7788142737363,512.2385466840612,453.2392212554345,963.558951436742,329.1249248950596,634.4340265416823,215.80616542799208,418.62786111369036,160.9061236062534,257.7217375074369,0.0,0.0,1964.8263024955506,1817.8830101450446,1468.0823417738957,1348.420800392877,1237.4029820913001,1157.988776298931,739.8486723309476,692.3081953940193,490.80140110453885,485.12895783365525,338.9960145218471,246.88634045654842,235.2713375685489,491.8818664894689,165.58132024055158,326.3005462489174,110.47758560911194,215.82296063980544,83.19583463962462,132.62712600018082,0.0,0.0,1991.766152050597,1944.3818295099695,1580.4702323979525,1293.998156695188,971.2432283041722,906.2590145341693,631.9714789132807,585.1286914874034,389.36374750526886,407.7759414067698,293.7827997518893,265.35220622751285,217.9678836868856,471.6770849472729,163.543604654508,308.13348029276494,105.32857981888012,202.80490047388489,77.71028896662878,125.09461150725608,0.0,0.0
10,{C66B61F0-D4DF-4103-A493-EC54D4403963},GNB,Guinea-Bissau,Oio,Nhacra,,,,,-15.532223472279973,12.054004901088767,-15.532223472279973,12.054004901088767,0,Not applicable,L,668.8640756691868,14.589885317962372,654.2741903512241,21385,22119,22920,23925,24745,32.68507349880363,33.80692731915069,35.03118468985641,36.56723794523624,37.82053512873023,20795.888832627938,11269.015974810352,9526.872857817585,3556.917753785191,3169.5764913722996,2520.166597169622,2360.6925750831906,1895.5200754813889,1734.0131865006226,1122.829397986482,1020.0612874933028,697.5817998831012,696.5659032322525,468.938284409925,420.3158020321129,360.3837402534842,772.3259379449632,268.69329521965767,503.63264272530546,169.93654318178665,333.69609954351887,134.70113226890754,198.99496727461133,0.0,0.0,1859.1755300233897,1604.7493085010299,1251.8777727500185,1237.0656323287171,1067.78402751384,1039.4696638513517,662.1127531181884,612.4366631338228,407.8880573158463,406.7796658557489,272.6642991839625,221.17447771943745,199.81275139756008,426.02537211744027,147.61758991297302,278.40778220446725,91.59343974804949,186.81434245641773,75.87443358666806,110.93990886974971,0.0,0.0,1697.7422237618014,1564.8271828712695,1268.2888244196033,1123.6269427544735,827.736047967549,694.5435226492708,460.71664486829377,407.6246243594802,289.69374256725484,289.78623737650355,196.27398522596252,199.14132431267547,160.5709888559241,346.300565827523,121.07570530668472,225.22486052083823,78.34310343373716,146.8817570871011,58.826698682239474,88.0550584048616,0.0,0.0
11,{5016A19B-7C79-44E6-8B4D-C0D8FDC5F029},GNB,Guinea-Bissau,Gabu,Pirada,,,,,-14.119442879370618,12.571824886660359,-14.119442879370618,12.571824886660359,0,Not applicable,L,995.4681038889928,0.0,995.4681038889928,28836,31002,33393,36231,38950,28.96727668857141,31.14313746355565,33.545022557270954,36.395942630865264,39.12732095366405,30297.33498615037,15545.192254682981,14752.142731467395,5342.134221793247,5047.42598178063,3884.1585417608367,3423.051349969147,2699.636798256285,2370.2643637139167,1595.6992908985364,1439.6184005381338,1048.8443563372875,912.5438715719383,645.0392566803538,518.6683872791058,415.56861659470087,954.681548976253,308.40087924417264,646.2806697320804,239.7717377700249,406.5089319620554,163.35363376778128,243.15529819427414,0.0,0.0,2614.9747596799757,2498.221702623614,1938.2476063268734,1764.3663238680908,1486.5087339930762,1335.5374853717674,889.3792623060727,779.0880096654089,567.9044926250963,469.0682569031698,328.37715167047213,219.9950685162644,201.7845287992972,451.73887233379793,139.66309089383674,312.0757814399612,111.02554859699323,201.05023284296792,75.04504673685652,126.00518610611135,0.0,0.0,2727.1594621132713,2549.2042791570143,1945.9109354339628,1658.6850261010557,1213.1280642632084,1034.7268783421484,706.3200285924637,660.5303908727248,480.93986371219114,443.47561466876846,316.66210500988166,298.6733187628414,213.7840877954036,502.94267664245524,168.73778835033596,334.20488829211916,128.7461891730317,205.45869911908756,88.30858703092474,117.1501120881628,0.0,0.0
